APPCH:030,D,D03, ,MD03,ES,P,C,E  M, ,   ,CF, ,KSD,ES,D, ,      ,1980,0010,0180,0061, ,00550,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D03, ,KSD,ES,D, ,V M , ,   ,CF, ,KSD,ES,D, ,      ,0000,0000,0180,0010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D03, ,KSD,ES,D, ,V   , ,   ,FA, ,KSD,ES,D, ,      ,0000,0000,0180,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D03, ,SKS,ES,P,N,EE H,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D21, ,FD21,ES,P,C,E  F, ,   ,IF, ,KSD,ES,D, ,      ,0230,0075,    ,    ,+,02500,     ,     , ,   ,    ,   ,KSD,ES,D, , ,0, ,S;
APPCH:025,D,D21, ,50VOR,ES,P,C,E S , ,   ,CF, ,KSD,ES,D, ,      ,0230,0050,2030,0025,+,01720,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:030,D,D21, ,RW21,ES,P,G,G  M, ,   ,CF, ,KSD,ES,D, ,      ,0272,0009,2030,0041, ,00405,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D21, ,KSD,ES,D, ,VYM , ,   ,CF, ,KSD,ES,D, ,      ,0000,0000,2030,0009, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:045,D,D21, ,KSD,ES,D, ,V   , ,   ,FA, ,KSD,ES,D, ,      ,0000,0000,2030,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D21, ,NKS,ES,P,N,EE H,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,     ,-,220,    ,   , , , , , ,0, ,S;
APPCH:010,I,I03, ,CF03,ES,P,C,E  I, ,   ,IF, ,SOK,ES,P,I,      ,2007,0101,    ,    ,J,02500,02500,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I03, ,FF03,ES,P,C,E  F, ,   ,CF, ,SOK,ES,P,I,      ,2007,0081,0210,0020,H,02500,02500,     , ,   ,-300,   ,SKS,ES,P,N, ,0,D,S;
APPCH:030,I,I03, ,RW03,ES,P,G,G  M, ,   ,CF, ,SOK,ES,P,I,      ,2007,0015,0210,0066, ,00385,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I03, ,RW03,ES,P,G,G M , ,   ,FA, ,KSD,ES,D, ,      ,1887,0005,0210,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I03, ,SKS,ES,P,N,EE H,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
